ID,adj.P.Val,P.Value,t,B,logFC,SPOT_ID
17441037,3.13E-19,8.26E-22,39.3500094,40.11428,4.81123061,chr5(+):114896934-114912245
17480205,3.31E-19,8.81E-22,39.2319151,40.05021,3.91668011,chr7(+):92741603-92837117
17284373,3.46E-19,9.30E-22,39.1349522,39.99745,3.62047453,chr12(-):113578504-113578990
17467461,4.31E-19,1.17E-21,38.7233798,39.77191,4.57808225,chr6(-):69575977-69576500
17475580,4.51E-19,1.23E-21,38.627339,39.71891,2.98354653,chr7(+):27447978-27466144
17284574,5.89E-19,1.62E-21,38.1376179,39.44644,5.13520269,chr12(-):115145487-115145919
17284445,6.57E-19,1.83E-21,37.9281366,39.32873,5.64178892,chr12(-):114033933-114034091
17296128,7.07E-19,1.99E-21,37.7793638,39.24471,3.44671144,chr13(-):110352615-110357172
17318950,7.07E-19,2.00E-21,37.7689161,39.2388,5.15530572,chr15(-):78282510-78305622
17211867,7.10E-19,2.03E-21,-37.7473935,39.22661,-2.06581647,chr1(+):36761850-36782818
17228588,7.38E-19,2.12E-21,37.6649709,39.17987,2.61872272,chr1(-):156804166-156939626
17459361,7.42E-19,2.15E-21,37.6411446,39.16634,4.42282328,chr6(+):68680562-68680848
17327084,8.37E-19,2.45E-21,37.4162487,39.03815,3.988724,chr16(+):91547072-91565169
17348840,8.61E-19,2.54E-21,-37.3538192,39.00242,-1.99489428,chr18(+):20944625-20983848
17284626,9.04E-19,2.69E-21,37.2558015,38.94619,4.88149067,chr12(-):115603940-115604233
17217182,1.01E-18,3.02E-21,37.0543348,38.83013,3.71657397,chr1(+):132316125-132333488
17241045,1.06E-18,3.20E-21,36.9577127,38.77422,3.50294558,chr10(-):60181527-60219260
17411147,1.09E-18,3.31E-21,36.8964557,38.7387,4.08236247,chr3(-):151730791-151749959
17214892,1.10E-18,3.37E-21,36.8655871,38.72078,4.46167272,chr1(+):85105946-85114035
17424608,1.21E-18,3.75E-21,36.6842129,38.61513,4.75122814,chr4(-):43446462-43454628
17233373,2.44E-18,7.60E-21,35.5021625,37.91275,3.3968415,chr10(+):57631981-57741112
17409960,2.57E-18,8.08E-21,35.4018625,37.85202,3.72324175,chr3(-):122377097-122391811
17448712,2.57E-18,8.14E-21,35.3893548,37.84443,3.35322831,chr5(-):72755718-72868459
17480102,2.61E-18,8.34E-21,-35.350002,37.82054,-3.9607235,chr7(+):90348699-90410439
17459335,2.61E-18,8.40E-21,35.3379783,37.81324,5.50334992,chr6(+):68256404-68256869
17503208,2.71E-18,8.81E-21,35.2591827,37.76531,3.54524967,chr8(+):84701457-84704716
17467458,2.71E-18,8.85E-21,35.2520504,37.76096,6.10266869,chr6(-):69544359-69544892
17467438,2.82E-18,9.29E-21,35.1728662,37.71267,4.54125256,chr6(-):69283794-69284319
17338210,2.86E-18,9.48E-21,-35.1393747,37.69221,-2.52421536,chr17(+):47140942-47359458
17284536,3.38E-18,1.13E-20,34.8577221,37.51933,5.09863256,chr12(-):114746273-114746706
17284577,3.68E-18,1.24E-20,34.7052663,37.42513,3.61539611,chr12(-):115158403-115158835
17418485,4.15E-18,1.41E-20,34.4960942,37.29519,4.77811186,chr4(+):126024550-126044975
17459417,4.15E-18,1.41E-20,34.4914335,37.29228,5.27995475,chr6(+):70723223-70723258
17459306,4.68E-18,1.61E-20,34.286369,37.16407,6.01253994,chr6(+):67861159-67861659
17332766,4.94E-18,1.71E-20,34.1857158,37.10084,2.66376208,chr17(+):5492600-5753891
17256473,4.94E-18,1.72E-20,34.1786996,37.09642,3.13862792,chr11(+):101009452-101063719
17449710,4.95E-18,1.74E-20,34.1651371,37.08789,5.82450225,chr5(-):92321331-92328079
17485589,5.48E-18,1.93E-20,33.9937654,36.97972,4.45169386,chr7(-):3711409-3720382
17346528,6.34E-18,2.25E-20,33.7533601,36.82701,5.47319219,chr17(-):57203973-57228136
17335519,6.35E-18,2.27E-20,33.7384803,36.81752,3.01347953,chr17(+):29360914-29379553
17229931,7.28E-18,2.62E-20,33.5149035,36.67441,4.49709269,chr1(-):172581377-172590568
17336476,8.11E-18,2.94E-20,33.3370306,36.55985,4.57482922,chr17(+):34238903-34253905
17398742,8.62E-18,3.15E-20,33.2315816,36.49163,6.26575772,chr3(+):87376387-87392133
17367652,8.75E-18,3.22E-20,33.1987409,36.47033,4.59409431,chr2(+):24186476-24193568
17470060,8.84E-18,3.27E-20,33.172435,36.45326,3.33056397,chr6(-):116633008-116673836
17453406,9.39E-18,3.50E-20,33.0694207,36.38627,3.56525747,chr5(-):134600265-134615023
17225066,9.53E-18,3.57E-20,33.0372619,36.36532,2.36056256,chr1(-):85083069-85109853
17519022,1.09E-17,4.11E-20,32.8202802,36.22337,4.53517311,chr9(+):70207350-70400067
17408024,1.09E-17,4.14E-20,32.8112003,36.2174,3.35065497,chr3(-):96282909-96294256
17226489,1.28E-17,4.88E-20,32.5615999,36.05285,2.30847153,chr1(-):127815271-127840290
17304406,1.28E-17,4.93E-20,32.5457857,36.04238,1.57624831,chr14(-):30595354-30626210
17467421,1.32E-17,5.11E-20,32.4893954,36.00501,4.42843433,chr6(-):69059692-69060224
17535048,1.39E-17,5.42E-20,-32.4022722,35.94713,-3.29000286,chrX(+):57212143-57224042
17214368,1.42E-17,5.59E-20,32.3561815,35.91645,2.81970392,chr1(+):74713574-74737890
17406831,1.42E-17,5.59E-20,-32.3552028,35.9158,-2.31699508,chr3(-):88744700-88775164
17477073,1.68E-17,6.68E-20,32.0887079,35.73749,4.60371056,chr7(+):43408204-43418358
17335798,1.95E-17,7.80E-20,-31.8568834,35.58112,-2.03855206,chr17(+):31207873-31242403
17527678,2.04E-17,8.18E-20,31.7854845,35.53273,1.90692433,chr9(-):58217179-58249786
17284560,2.15E-17,8.67E-20,31.6992652,35.47414,5.29775925,chr12(-):114937113-114937406
17299908,2.25E-17,9.15E-20,-31.6210799,35.42087,-2.27416383,chr14(+):53132851-53133137
17502994,2.46E-17,1.00E-19,-31.4843521,35.32738,-1.65003803,chr8(+):83900098-83941954
17379304,2.73E-17,1.12E-19,31.3205866,35.21486,3.14577178,chr2(+):163658386-163726158
17231229,2.77E-17,1.15E-19,-31.2885128,35.19275,-1.82485572,chr1(-):193221630-193264054
17302802,2.89E-17,1.20E-19,-31.217985,35.14405,-3.08410014,chr14(+):121035200-121283744
17344303,2.94E-17,1.23E-19,31.1869686,35.1226,3.90956917,chr17(-):35185095-35188440
17398218,3.32E-17,1.40E-19,31.0001607,34.99294,3.38184461,chr3(+):68690644-68698547
17284617,3.57E-17,1.51E-19,30.8888073,34.91526,5.09044044,chr12(-):115507545-115507977
17391094,3.89E-17,1.65E-19,30.7582918,34.82386,3.07213842,chr2(-):126593667-126619299
17361041,4.21E-17,1.80E-19,30.6354003,34.73743,3.31959944,chr19(-):3913491-3929761
17348570,4.23E-17,1.82E-19,-30.62186,34.72788,-3.17214517,chr18(+):12599926-12737052
17467453,4.28E-17,1.86E-19,30.5922752,34.70701,4.38415756,chr6(-):69438218-69438741
17350447,4.28E-17,1.86E-19,30.5869348,34.70324,1.64691186,chr18(+):49832997-49965473
17481755,4.47E-17,1.96E-19,30.5192974,34.65545,4.0490825,chr7(+):110221703-110283506
17345775,4.48E-17,1.98E-19,30.5013632,34.64275,4.11843314,chr17(-):48151896-48167270
17467449,4.48E-17,1.98E-19,30.4987687,34.64092,5.00853122,chr6(-):69399819-69400097
17526663,4.59E-17,2.04E-19,30.4581279,34.61213,3.39436811,chr9(-):48318004-48353454
17463509,4.68E-17,2.10E-19,30.4178575,34.58356,4.50346361,chr6(+):129342691-129365303
17459398,4.68E-17,2.10E-19,30.4149738,34.58151,4.21261178,chr6(+):70607738-70608036
17376167,4.73E-17,2.14E-19,30.3912486,34.56466,3.37837664,chr2(+):129592835-129632228
17362753,4.85E-17,2.22E-19,-30.3419451,34.5296,-1.92315033,chr19(-):10718143-10738974
17318794,4.85E-17,2.22E-19,30.3380447,34.52682,4.50876111,chr15(-):77524867-77533315
17218261,4.85E-17,2.23E-19,30.3339218,34.52389,3.15361103,chr1(+):152807890-152836990
17284530,5.07E-17,2.34E-19,30.2632054,34.47348,5.80029806,chr12(-):114708648-114709081
17493526,5.36E-17,2.49E-19,30.1784312,34.4129,2.38059058,chr7(-):98121559-98178274
17343813,5.57E-17,2.60E-19,30.1148779,34.36737,6.02226392,chr17(-):34269331-34287827
17510462,5.85E-17,2.75E-19,30.0393712,34.31315,3.50661406,chr8(-):71988482-72009626
17480420,6.36E-17,3.00E-19,29.9151839,34.22367,2.45976503,chr7(+):97788541-97912381
17441051,6.54E-17,3.10E-19,29.869213,34.19045,3.69302075,chr5(+):114923240-114937915
17265470,6.56E-17,3.13E-19,-29.8572016,34.18176,-4.10875394,chr11(-):71031941-71033617
17266960,7.27E-17,3.48E-19,29.7069527,34.07278,4.43232522,chr11(-):83587882-83593087
17459344,7.55E-17,3.63E-19,29.6481415,34.02997,3.72749364,chr6(+):68425605-68426072
17338371,7.72E-17,3.73E-19,29.6109607,34.00286,4.29318347,chr17(+):48247777-48258841
17505215,7.74E-17,3.76E-19,-29.5998715,33.99477,-2.14041242,chr8(+):106935750-107014192
17394175,7.74E-17,3.78E-19,29.5936069,33.9902,3.70675417,chr2(-):164424247-164443887
17496150,7.78E-17,3.82E-19,-29.5796668,33.98002,-1.31100539,chr7(-):126363827-126369543
17307033,8.19E-17,4.04E-19,-29.5013056,33.92271,-3.40286956,chr14(-):56258856-56262260
17366183,9.32E-17,4.62E-19,29.3160566,33.78661,6.06009992,chr19(-):61232783-61232890
17351053,9.43E-17,4.70E-19,29.2942418,33.77052,3.36253667,chr18(+):61105572-61132149
17534051,9.81E-17,4.91E-19,29.2332635,33.7255,3.36377761,chrX(+):36112110-36171262
17449447,1.01E-16,5.08E-19,29.1861408,33.69064,5.66892864,chr5(-):88519627-88527897
17394806,1.05E-16,5.28E-19,-29.1336066,33.65171,-1.28598617,chr2(-):168476410-168601657
17279131,1.11E-16,5.67E-19,29.0380399,33.58071,3.12616525,chr12(+):111442469-111455018
17292603,1.11E-16,5.68E-19,29.0347581,33.57826,3.26947278,chr13(-):52569880-52573225
17403150,1.18E-16,6.11E-19,-28.9358461,33.50452,-1.72547814,chr3(+):138742195-138904433
17285204,1.18E-16,6.11E-19,28.9356327,33.50436,2.10104858,chr13(+):12565883-12609528
17377610,1.18E-16,6.12E-19,-28.9332969,33.50262,-3.41984931,chr2(+):151572622-151590005
17482095,1.26E-16,6.54E-19,28.8441744,33.43595,2.92058956,chr7(+):116504374-116540588
17337796,1.28E-16,6.68E-19,28.8158327,33.4147,4.08912619,chr17(+):43568098-43612201
17454551,1.32E-16,6.92E-19,28.7671583,33.37817,2.80043603,chr5(-):140340303-140389262
17240606,1.32E-16,6.96E-19,28.7608821,33.37345,3.76959722,chr10(-):43583783-43584264
17471565,1.32E-16,6.97E-19,28.7575375,33.37094,3.35686383,chr6(-):129610321-129623864
17471473,1.39E-16,7.42E-19,28.6742769,33.30828,2.97527231,chr6(-):128848044-128891126
17324637,1.44E-16,7.67E-19,28.6285623,33.27379,4.30027178,chr16(+):30599723-30602797
17297080,1.48E-16,7.96E-19,28.5801977,33.23725,1.44178239,chr14(+):8098211-8165111
17385508,1.48E-16,7.96E-19,28.5797594,33.23692,1.73813986,chr2(-):59899363-60209839
17462796,1.48E-16,8.01E-19,28.5708807,33.2302,4.40771122,chr6(+):123262107-123275268
17323828,1.56E-16,8.50E-19,28.4926098,33.17091,2.68543031,chr16(+):19760208-19772753
17284609,1.67E-16,9.13E-19,28.396977,33.09825,4.02412114,chr12(-):115460999-115461431
17467551,1.73E-16,9.51E-19,28.3422544,33.05656,5.10774194,chr6(-):70434952-70435476
17284437,1.77E-16,9.77E-19,28.306138,33.029,5.86356897,chr12(-):113964388-113964683
17454166,1.86E-16,1.03E-18,28.2336035,32.97354,3.27506772,chr5(-):137821952-137836278
17532655,1.88E-16,1.05E-18,28.2135493,32.95818,3.03887628,chrUn_GL456372(-):2087-5199
17476364,1.89E-16,1.06E-18,28.2020687,32.94938,5.73056489,chr7(+):30413788-30417582
17258738,1.90E-16,1.07E-18,-28.1843334,32.93579,-1.1530635,chr11(+):117199661-117362325
17441949,1.90E-16,1.08E-18,28.1782159,32.9311,2.97345272,chr5(+):121567709-121569042
17219407,1.90E-16,1.08E-18,-28.1781439,32.93104,-1.85695228,chr1(+):171767127-171801184
17456692,2.04E-16,1.16E-18,28.0793883,32.85515,2.49121508,chr6(+):29526625-29541869
17451661,2.04E-16,1.17E-18,-28.0717001,32.84924,-1.50714528,chr5(-):115122550-115134975
17329016,2.05E-16,1.17E-18,28.0652775,32.84429,5.35629272,chr16(-):19198401-19200351
17284605,2.07E-16,1.19E-18,28.0427995,32.82697,4.95596572,chr12(-):115386899-115386988
17467537,2.07E-16,1.20E-18,28.0365593,32.82216,5.54690917,chr6(-):70314895-70315452
17350011,2.07E-16,1.20E-18,-28.0319348,32.8186,-1.43638661,chr18(+):38418975-38464406
17366197,2.13E-16,1.24E-18,27.9921308,32.78788,3.01946222,chr1_GL456210_random(+):68253-72047
17422092,2.19E-16,1.28E-18,-27.9510466,32.75613,-2.32016464,chr4(+):152115934-152120119
17284447,2.45E-16,1.44E-18,27.7939561,32.63431,4.17732772,chr12(-):114048241-114048704
17467522,2.45E-16,1.44E-18,27.793479,32.63394,3.83476333,chr6(-):70138462-70139082
17280689,2.45E-16,1.45E-18,27.7871685,32.62903,2.44411081,chr12(-):34047586-34528889
17227797,2.51E-16,1.49E-18,27.7484502,32.59889,3.25499036,chr1(-):144752683-144775435
17436999,2.63E-16,1.57E-18,-27.6831743,32.54798,-3.95587333,chr5(+):37242080-37292133
17379037,2.80E-16,1.68E-18,-27.5951086,32.47911,-1.55726539,chr2(+):160731310-160775760
17434614,3.00E-16,1.81E-18,27.5029792,32.40682,1.94950553,chr5(+):9100737-9118983
17354411,3.12E-16,1.89E-18,27.4452206,32.36138,2.92444664,chr18(-):54888045-54992591
17401833,3.12E-16,1.89E-18,-27.4415869,32.35852,-2.37729525,chr3(+):109123149-109168457
17284554,3.16E-16,1.93E-18,27.4190852,32.34079,3.38330678,chr12(-):114896238-114896671
17315002,3.22E-16,1.97E-18,-27.3912709,32.31885,-3.20551381,chr15(+):100304817-100314351
17284648,3.22E-16,1.98E-18,27.3847871,32.31373,6.22828,chr12(-):115847881-115848174
17312097,3.71E-16,2.29E-18,27.1984019,32.16612,2.56675625,chr15(+):73512560-73572242
17449673,3.89E-16,2.41E-18,27.1346814,32.11542,2.91076817,chr5(-):92257660-92278181
17344289,3.93E-16,2.44E-18,27.1142671,32.09915,3.49170969,chr17(-):35170991-35176068
17255626,4.03E-16,2.51E-18,-27.079591,32.07149,-1.36742317,chr11(+):96464591-96759622
17319588,4.05E-16,2.54E-18,27.0668915,32.06135,1.86531428,chr15(-):82221744-82224360
17452115,4.49E-16,2.82E-18,26.9313197,31.95282,3.86187806,chr5(-):120876142-120887598
17510856,4.86E-16,3.07E-18,26.8266467,31.86865,2.9347195,chr8(-):82331624-82403222
17464530,4.92E-16,3.12E-18,26.8056157,31.8517,3.21662881,chr6(-):3333194-3346069
17319870,5.22E-16,3.32E-18,-26.7263042,31.78766,-1.47152022,chr15(-):83575094-83595157
17469414,5.49E-16,3.50E-18,26.6591262,31.73326,1.76541189,chr6(-):98925338-99435345
17425816,5.82E-16,3.73E-18,26.5798415,31.66889,2.43675656,chr4(-):59314683-59438633
17330478,5.86E-16,3.77E-18,-26.5675866,31.65893,-4.09685819,chr16(-):43648861-43664184
17320337,6.29E-16,4.06E-18,26.4736704,31.5824,2.45979031,chr15(-):89155549-89180788
17222527,6.34E-16,4.11E-18,26.4592473,31.57062,2.86337831,chr1(-):39371495-39478747
17284633,6.42E-16,4.18E-18,26.4390132,31.55409,2.113,chr12(-):115757984-115758416
17237715,6.82E-16,4.45E-18,26.3603625,31.4897,2.79172989,chr10(+):121365090-121397245
17386135,6.97E-16,4.57E-18,-26.3283096,31.46341,-1.81151114,chr2(-):68210445-68472268
17238594,6.98E-16,4.59E-18,26.3229397,31.459,3.08585667,chr10(+):128908919-128912822
17302475,7.52E-16,4.96E-18,26.2257428,31.37906,4.18656617,chr14(+):103046977-103056573
17356517,7.68E-16,5.09E-18,-26.1952813,31.35395,-2.55023664,chr19(+):5704367-5707101
17489318,7.96E-16,5.29E-18,26.1467432,31.31387,2.75143775,chr7(-):30860568-30861470
17232649,8.15E-16,5.44E-18,-26.1122225,31.28533,-1.43006139,chr10(+):39368855-39565381
17228563,8.22E-16,5.53E-18,26.0937019,31.26999,1.70214119,chr1(-):156653617-156674356
17470627,8.22E-16,5.53E-18,26.0930728,31.26947,4.8364645,chr6(-):123281789-123289871
17338087,8.28E-16,5.60E-18,26.0772544,31.25637,2.22134044,chr17(+):46383731-46420920
17466641,8.28E-16,5.61E-18,-26.0756193,31.25501,-3.42809531,chr6(-):49085218-49214954
17279107,8.66E-16,5.89E-18,-26.0160319,31.20558,-3.20336028,chr12(+):111406809-111412077
17463781,9.28E-16,6.36E-18,-25.9221238,31.12745,-4.13372239,chr6(+):135362931-135383173
17284533,9.28E-16,6.37E-18,25.9193776,31.12516,3.27408556,chr12(-):114723772-114724205
